accessory_model,accessory_name,accessory_type,condition,equipment_type,indoor_model_or_series,required_optional,source_pdf_page,source_printed_page,source_row,source_table
BRC2E61,Điều khiển từ xa đơn giản,, |  | *1,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,11,3
BRC7M56 | BRC7GA56,Điều khiển từ xa,, |  | ,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,12,3
BRC7M53,Hai chiều,, |  | ,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,13,3
BRCS01A-6 | BRCS01A-4,Cảm biến điều khiển từ xa,Cảm biến điều khiển từ xa, |  | ,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,27,3
BRC7F633F,Loại không dây,, |  | ,SOURCE_SCOPE,FCNQ13MV1 | FCNQ18MV1 | FCNQ21MV1 | FCNQ26MV1 | FCNQ30MV1 | FCNQ36MV1 | FCNQ42MV1 | FCNQ48MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,21,2
BRC2E61,Loại có dây3,, |  | ,SOURCE_SCOPE,FCNQ13MV1 | FCNQ18MV1 | FCNQ21MV1 | FCNQ26MV1 | FCNQ30MV1 | FCNQ36MV1 | FCNQ42MV1 | FCNQ48MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,22,2
BRC1E63,Loại có dây3,, |  | ,SOURCE_SCOPE,FCNQ13MV1 | FCNQ18MV1 | FCNQ21MV1 | FCNQ26MV1 | FCNQ30MV1 | FCNQ36MV1 | FCNQ42MV1 | FCNQ48MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,23,2
BRC4C64,Loại không dây,Loại không dây, |  | ,SOURCE_SCOPE,FDBNQ09MV1V | FDBNQ13MV1V | FDBNQ18MV1V | FDBNQ21MV1V | FDBNQ24MV1V | FDBNQ26MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,3,3
BRC2E61,Loại có dây1,Loại có dây1, |  | ,SOURCE_SCOPE,FDBNQ09MV1V | FDBNQ13MV1V | FDBNQ18MV1V | FDBNQ21MV1V | FDBNQ24MV1V | FDBNQ26MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,4,3
BRC1E63,Loại có dây1,Loại có dây1, |  | ,SOURCE_SCOPE,FDBNQ09MV1V | FDBNQ13MV1V | FDBNQ18MV1V | FDBNQ21MV1V | FDBNQ24MV1V | FDBNQ26MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,5,3
BRC4C64,Loại không dây,Loại không dây, |  | ,SOURCE_SCOPE,FDMNQ26MV1 | FDMNQ30MV1 | FDMNQ36MV1 | FDMNQ42MV1 | FDMNQ48MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,3,4
BRC2E61,Loại có dây1,Loại có dây1, |  | ,SOURCE_SCOPE,FDMNQ26MV1 | FDMNQ30MV1 | FDMNQ36MV1 | FDMNQ42MV1 | FDMNQ48MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,4,4
BRC1E63,Loại có dây1,Loại có dây1, |  | ,SOURCE_SCOPE,FDMNQ26MV1 | FDMNQ30MV1 | FDMNQ36MV1 | FDMNQ42MV1 | FDMNQ48MV1,OPTIONAL_OR_CONDITIONAL,69,136|137,5,4
BRC7NU66,Loại không dây,Loại không dây, |  | ,SOURCE_SCOPE,FHNQ13MV1V | FHNQ18MV1V | FHNQ21MV1V | FHNQ24MV1V | ------- | FHNQ30MV1V | FHNQ36MV1V | ------- | -------,OPTIONAL_OR_CONDITIONAL,69,136|137,6,5
BRC1NU61,Loại có dây1,Loại có dây1, |  | ,SOURCE_SCOPE,FHNQ13MV1V | FHNQ18MV1V | FHNQ21MV1V | FHNQ24MV1V | ------- | FHNQ30MV1V | FHNQ36MV1V | ------- | -------,OPTIONAL_OR_CONDITIONAL,69,136|137,7,5
